state,reporting_coverage,index,rate,year
Georgia,54,Property Crime Index,1411,2003
Hawaii,100,Property Crime Index,1387,2003
Idaho,94,Property Crime Index,2158,2003
Illinois,23,Property Crime Index,2074,2003
Indiana,74,Property Crime Index,1219,2003
Iowa,90,Property Crime Index,2099,2003
Kansas,48,Property Crime Index,1055,2003
Kentucky,26,Property Crime Index,1435,2003
Louisiana,73,Property Crime Index,1842,2003
Maine,100,Property Crime Index,1866,2003
Maryland,100,Property Crime Index,1950,2003
Massachusetts,70,Property Crime Index,512,2003
Michigan,96,Property Crime Index,947,2003
Minnesota,83,Property Crime Index,1860,2003
Mississippi,48,Property Crime Index,1497,2003
Missouri,97,Property Crime Index,1728,2003
Montana,60,Property Crime Index,2175,2003
Nebraska,86,Property Crime Index,1820,2003
Nevada,0,Property Crime Index,NA,2003
New Hampshire,69,Property Crime Index,674,2003
New Jersey,93,Property Crime Index,934,2003
New Mexico,55,Property Crime Index,1367,2003
New York,45,Property Crime Index,1218,2003
North Carolina,79,Property Crime Index,1582,2003
North Dakota,85,Property Crime Index,1866,2003
Ohio,49,Property Crime Index,1222,2003
Oklahoma,100,Property Crime Index,1591,2003
Oregon,91,Property Crime Index,1721,2003
Pennsylvania,84,Property Crime Index,1222,2003
Rhode Island,100,Property Crime Index,1372,2003
South Carolina,13,Property Crime Index,214,2003
South Dakota,86,Property Crime Index,1743,2003
Tennessee,84,Property Crime Index,1064,2003
Texas,94,Property Crime Index,1282,2003
Utah,72,Property Crime Index,2511,2003
Vermont,77,Property Crime Index,559,2003
Virginia,75,Property Crime Index,844,2003
Washington,74,Property Crime Index,2088,2003
West Virginia,45,Property Crime Index,382,2003
Wisconsin,76,Property Crime Index,2813,2003
Wyoming,95,Property Crime Index,1885,2003
United States,76,Drug abuse,594,2003
Alabama,91,Drug abuse,236,2003
Alaska,97,Drug abuse,487,2003
Arizona,96,Drug abuse,820,2003
Arkansas,66,Drug abuse,328,2003
California,99,Drug abuse,523,2003
Colorado,71,Drug abuse,777,2003
Connecticut,65,Drug abuse,479,2003
Delaware,99,Drug abuse,769,2003
District of Columbia,0,Drug abuse,NA,2003
Florida,100,Drug abuse,765,2003
Georgia,54,Drug abuse,536,2003
Hawaii,100,Drug abuse,424,2003
Idaho,94,Drug abuse,482,2003
Illinois,23,Drug abuse,2457,2003
Indiana,74,Drug abuse,438,2003
Iowa,90,Drug abuse,408,2003
Kansas,48,Drug abuse,455,2003
Kentucky,26,Drug abuse,588,2003
Louisiana,73,Drug abuse,570,2003
Maine,100,Drug abuse,562,2003
Maryland,100,Drug abuse,1235,2003
Massachusetts,70,Drug abuse,337,2003
Michigan,96,Drug abuse,325,2003
Minnesota,83,Drug abuse,579,2003
Mississippi,48,Drug abuse,526,2003
Missouri,97,Drug abuse,680,2003
Montana,60,Drug abuse,295,2003
Nebraska,86,Drug abuse,581,2003
Nevada,0,Drug abuse,NA,2003
New Hampshire,69,Drug abuse,452,2003
New Jersey,93,Drug abuse,688,2003
New Mexico,55,Drug abuse,749,2003
New York,45,Drug abuse,569,2003
North Carolina,79,Drug abuse,522,2003
North Dakota,85,Drug abuse,322,2003
Ohio,49,Drug abuse,443,2003
Oklahoma,100,Drug abuse,469,2003
Oregon,91,Drug abuse,520,2003
Pennsylvania,84,Drug abuse,559,2003
Rhode Island,100,Drug abuse,579,2003
South Carolina,13,Drug abuse,183,2003
South Dakota,86,Drug abuse,773,2003
Tennessee,84,Drug abuse,472,2003
Texas,94,Drug abuse,590,2003
Utah,72,Drug abuse,568,2003
Vermont,77,Drug abuse,322,2003
Virginia,75,Drug abuse,377,2003
Washington,74,Drug abuse,530,2003
West Virginia,45,Drug abuse,157,2003
Wisconsin,76,Drug abuse,842,2003
Wyoming,95,Drug abuse,769,2003
United States,76,Weapons,116,2003
Alabama,91,Weapons,31,2003
Alaska,97,Weapons,85,2003
Arizona,96,Weapons,72,2003
Arkansas,66,Weapons,64,2003
California,99,Weapons,181,2003
Colorado,71,Weapons,168,2003
Connecticut,65,Weapons,90,2003
Delaware,99,Weapons,147,2003
District of Columbia,0,Weapons,NA,2003
Florida,100,Weapons,109,2003
Georgia,54,Weapons,153,2003
Hawaii,100,Weapons,36,2003
Idaho,94,Weapons,122,2003
Illinois,23,Weapons,383,2003
Indiana,74,Weapons,28,2003
Iowa,90,Weapons,45,2003
Kansas,48,Weapons,25,2003
Kentucky,26,Weapons,56,2003
Louisiana,73,Weapons,61,2003
Maine,100,Weapons,26,2003
Maryland,100,Weapons,224,2003
Massachusetts,70,Weapons,28,2003
Michigan,96,Weapons,53,2003
Minnesota,83,Weapons,102,2003
Mississippi,48,Weapons,70,2003
Missouri,97,Weapons,87,2003
Montana,60,Weapons,32,2003
Nebraska,86,Weapons,83,2003
Nevada,0,Weapons,NA,2003
New Hampshire,69,Weapons,9,2003
New Jersey,93,Weapons,214,2003
New Mexico,55,Weapons,174,2003
New York,45,Weapons,70,2003
North Carolina,79,Weapons,179,2003
North Dakota,85,Weapons,33,2003
Ohio,49,Weapons,70,2003
Oklahoma,100,Weapons,81,2003
Oregon,91,Weapons,53,2003
Pennsylvania,84,Weapons,123,2003
Rhode Island,100,Weapons,160,2003
South Carolina,13,Weapons,73,2003
South Dakota,86,Weapons,82,2003
Tennessee,84,Weapons,100,2003
Texas,94,Weapons,64,2003
Utah,72,Weapons,183,2003
Vermont,77,Weapons,11,2003
Virginia,75,Weapons,88,2003
Washington,74,Weapons,113,2003
West Virginia,45,Weapons,7,2003
Wisconsin,76,Weapons,176,2003
Wyoming,95,Weapons,80,2003
United States,77,Violent Crime Index,285,2004
Alabama,88,Violent Crime Index,125,2004
Alaska,97,Violent Crime Index,204,2004
Arizona,97,Violent Crime Index,236,2004
Arkansas,53,Violent Crime Index,142,2004
California,94,Violent Crime Index,347,2004
Colorado,86,Violent Crime Index,228,2004
Connecticut,83,Violent Crime Index,295,2004
Delaware,91,Violent Crime Index,491,2004
District of Columbia,0,Violent Crime Index,NA,2004
Florida,100,Violent Crime Index,468,2004
Georgia,36,Violent Crime Index,335,2004
Hawaii,87,Violent Crime Index,237,2004
Idaho,91,Violent Crime Index,162,2004
Illinois,23,Violent Crime Index,985,2004
Indiana,73,Violent Crime Index,323,2004
Iowa,85,Violent Crime Index,246,2004
Kansas,71,Violent Crime Index,157,2004
Kentucky,25,Violent Crime Index,248,2004
Louisiana,70,Violent Crime Index,401,2004
Maine,100,Violent Crime Index,101,2004
Maryland,100,Violent Crime Index,511,2004
Massachusetts,72,Violent Crime Index,270,2004
Michigan,93,Violent Crime Index,147,2004
Minnesota,70,Violent Crime Index,170,2004
Mississippi,51,Violent Crime Index,125,2004
Missouri,83,Violent Crime Index,289,2004
Montana,0,Violent Crime Index,NA,2004
Nebraska,93,Violent Crime Index,119,2004
Nevada,97,Violent Crime Index,271,2004
New Hampshire,76,Violent Crime Index,73,2004
New Jersey,97,Violent Crime Index,360,2004
New Mexico,76,Violent Crime Index,266,2004
New York,51,Violent Crime Index,260,2004
North Carolina,71,Violent Crime Index,243,2004
North Dakota,81,Violent Crime Index,59,2004
Ohio,68,Violent Crime Index,148,2004
Oklahoma,97,Violent Crime Index,196,2004
Oregon,95,Violent Crime Index,221,2004
Pennsylvania,86,Violent Crime Index,419,2004
Rhode Island,100,Violent Crime Index,222,2004
South Carolina,16,Violent Crime Index,277,2004
South Dakota,55,Violent Crime Index,90,2004
Tennessee,82,Violent Crime Index,236,2004
Texas,99,Violent Crime Index,190,2004
Utah,64,Violent Crime Index,174,2004
Vermont,84,Violent Crime Index,66,2004
Virginia,87,Violent Crime Index,120,2004
Washington,76,Violent Crime Index,236,2004
West Virginia,58,Violent Crime Index,58,2004
Wisconsin,72,Violent Crime Index,212,2004
Wyoming,97,Violent Crime Index,126,2004
United States,77,Property Crime Index,1395,2004
Alabama,88,Property Crime Index,760,2004
Alaska,97,Property Crime Index,1599,2004
Arizona,97,Property Crime Index,1796,2004
Arkansas,53,Property Crime Index,1481,2004
California,94,Property Crime Index,1109,2004
Colorado,86,Property Crime Index,2012,2004
Connecticut,83,Property Crime Index,1194,2004
Delaware,91,Property Crime Index,1762,2004
District of Columbia,0,Property Crime Index,NA,2004
Florida,100,Property Crime Index,1951,2004
Georgia,36,Property Crime Index,1542,2004
Hawaii,87,Property Crime Index,1369,2004
Idaho,91,Property Crime Index,1880,2004
Illinois,23,Property Crime Index,1857,2004
Indiana,73,Property Crime Index,1283,2004
Iowa,85,Property Crime Index,1835,2004
Kansas,71,Property Crime Index,1190,2004
Kentucky,25,Property Crime Index,2083,2004
Louisiana,70,Property Crime Index,1977,2004
Maine,100,Property Crime Index,1749,2004
Maryland,100,Property Crime Index,1965,2004
Massachusetts,72,Property Crime Index,509,2004
Michigan,93,Property Crime Index,902,2004
Minnesota,70,Property Crime Index,1702,2004
Mississippi,51,Property Crime Index,1514,2004
Missouri,83,Property Crime Index,1613,2004
Montana,0,Property Crime Index,NA,2004
Nebraska,93,Property Crime Index,1942,2004
Nevada,97,Property Crime Index,1686,2004
New Hampshire,76,Property Crime Index,804,2004
New Jersey,97,Property Crime Index,884,2004
New Mexico,76,Property Crime Index,1236,2004
New York,51,Property Crime Index,1117,2004
North Carolina,71,Property Crime Index,1361,2004
North Dakota,81,Property Crime Index,1866,2004
Ohio,68,Property Crime Index,1063,2004
Oklahoma,97,Property Crime Index,1610,2004
Oregon,95,Property Crime Index,2033,2004
Pennsylvania,86,Property Crime Index,1177,2004
Rhode Island,100,Property Crime Index,1340,2004
South Carolina,16,Property Crime Index,1051,2004
South Dakota,55,Property Crime Index,1575,2004
Tennessee,82,Property Crime Index,1173,2004
Texas,99,Property Crime Index,1329,2004
Utah,64,Property Crime Index,2622,2004
Vermont,84,Property Crime Index,484,2004
Virginia,87,Property Crime Index,814,2004
Washington,76,Property Crime Index,1970,2004
West Virginia,58,Property Crime Index,601,2004
Wisconsin,72,Property Crime Index,3018,2004
Wyoming,97,Property Crime Index,1689,2004
United States,77,Drug abuse,587,2004
Alabama,88,Drug abuse,245,2004
Alaska,97,Drug abuse,375,2004
Arizona,97,Drug abuse,833,2004
Arkansas,53,Drug abuse,383,2004
California,94,Drug abuse,495,2004
Colorado,86,Drug abuse,707,2004
Connecticut,83,Drug abuse,565,2004
Delaware,91,Drug abuse,661,2004
District of Columbia,0,Drug abuse,NA,2004
Florida,100,Drug abuse,764,2004
Georgia,36,Drug abuse,607,2004
Hawaii,87,Drug abuse,371,2004
Idaho,91,Drug abuse,530,2004
Illinois,23,Drug abuse,2534,2004
Indiana,73,Drug abuse,448,2004
Iowa,85,Drug abuse,378,2004
Kansas,71,Drug abuse,513,2004
Kentucky,25,Drug abuse,892,2004
Louisiana,70,Drug abuse,597,2004
Maine,100,Drug abuse,566,2004
Maryland,100,Drug abuse,1245,2004
Massachusetts,72,Drug abuse,355,2004
Michigan,93,Drug abuse,313,2004
Minnesota,70,Drug abuse,595,2004
Mississippi,51,Drug abuse,571,2004
Missouri,83,Drug abuse,622,2004
Montana,0,Drug abuse,NA,2004
Nebraska,93,Drug abuse,615,2004
Nevada,97,Drug abuse,328,2004
New Hampshire,76,Drug abuse,601,2004
New Jersey,97,Drug abuse,661,2004
New Mexico,76,Drug abuse,634,2004
New York,51,Drug abuse,529,2004
North Carolina,71,Drug abuse,423,2004
North Dakota,81,Drug abuse,385,2004
Ohio,68,Drug abuse,379,2004
Oklahoma,97,Drug abuse,486,2004
Oregon,95,Drug abuse,623,2004
Pennsylvania,86,Drug abuse,560,2004
Rhode Island,100,Drug abuse,563,2004
South Carolina,16,Drug abuse,427,2004
South Dakota,55,Drug abuse,416,2004
Tennessee,82,Drug abuse,541,2004
Texas,99,Drug abuse,608,2004
Utah,64,Drug abuse,598,2004
Vermont,84,Drug abuse,256,2004
Virginia,87,Drug abuse,316,2004
Washington,76,Drug abuse,474,2004
West Virginia,58,Drug abuse,164,2004
Wisconsin,72,Drug abuse,896,2004
Wyoming,97,Drug abuse,1038,2004
United States,77,Weapons,122,2004
Alabama,88,Weapons,30,2004
Alaska,97,Weapons,52,2004
Arizona,97,Weapons,79,2004
Arkansas,53,Weapons,63,2004
California,94,Weapons,189,2004
Colorado,86,Weapons,148,2004
Connecticut,83,Weapons,97,2004
Delaware,91,Weapons,173,2004
District of Columbia,0,Weapons,NA,2004
Florida,100,Weapons,147,2004
Georgia,36,Weapons,165,2004
Hawaii,87,Weapons,35,2004
Idaho,91,Weapons,134,2004
Illinois,23,Weapons,385,2004
Indiana,73,Weapons,29,2004
Iowa,85,Weapons,31,2004
Kansas,71,Weapons,64,2004
Kentucky,25,Weapons,82,2004
Louisiana,70,Weapons,76,2004
Maine,100,Weapons,33,2004
Maryland,100,Weapons,234,2004
Massachusetts,72,Weapons,40,2004
Michigan,93,Weapons,56,2004
Minnesota,70,Weapons,94,2004
Mississippi,51,Weapons,100,2004
Missouri,83,Weapons,96,2004
Montana,0,Weapons,NA,2004
Nebraska,93,Weapons,99,2004
Nevada,97,Weapons,72,2004
New Hampshire,76,Weapons,11,2004
New Jersey,97,Weapons,217,2004
New Mexico,76,Weapons,148,2004
New York,51,Weapons,82,2004
North Carolina,71,Weapons,179,2004
North Dakota,81,Weapons,72,2004
Ohio,68,Weapons,65,2004
Oklahoma,97,Weapons,82,2004
Oregon,95,Weapons,76,2004
Pennsylvania,86,Weapons,133,2004
Rhode Island,100,Weapons,161,2004
South Carolina,16,Weapons,86,2004
South Dakota,55,Weapons,68,2004
Tennessee,82,Weapons,112,2004
Texas,99,Weapons,67,2004
Utah,64,Weapons,171,2004
Vermont,84,Weapons,19,2004
Virginia,87,Weapons,88,2004
Washington,76,Weapons,124,2004
West Virginia,58,Weapons,25,2004
Wisconsin,72,Weapons,223,2004
Wyoming,97,Weapons,99,2004
United States,79,Violent Crime Index,296,2005
Alabama,71,Violent Crime Index,130,2005
Alaska,97,Violent Crime Index,238,2005
Arizona,90,Violent Crime Index,249,2005
Arkansas,78,Violent Crime Index,201,2005
California,99,Violent Crime Index,346,2005
Colorado,92,Violent Crime Index,220,2005
Connecticut,88,Violent Crime Index,306,2005
Delaware,100,Violent Crime Index,578,2005
District of Columbia,0,Violent Crime Index,NA,2005
Florida,100,Violent Crime Index,463,2005
Georgia,37,Violent Crime Index,344,2005
Hawaii,82,Violent Crime Index,212,2005
Idaho,63,Violent Crime Index,159,2005
Illinois,23,Violent Crime Index,1075,2005
Indiana,75,Violent Crime Index,290,2005
Iowa,89,Violent Crime Index,287,2005
Kansas,47,Violent Crime Index,122,2005
Kentucky,64,Violent Crime Index,208,2005
Louisiana,54,Violent Crime Index,372,2005
Maine,99,Violent Crime Index,80,2005
Maryland,99,Violent Crime Index,494,2005
Massachusetts,77,Violent Crime Index,255,2005
Michigan,97,Violent Crime Index,206,2005
Minnesota,94,Violent Crime Index,237,2005
Mississippi,50,Violent Crime Index,97,2005
Missouri,63,Violent Crime Index,357,2005
Montana,83,Violent Crime Index,134,2005
Nebraska,90,Violent Crime Index,105,2005
Nevada,100,Violent Crime Index,181,2005
New Hampshire,83,Violent Crime Index,77,2005
New Jersey,96,Violent Crime Index,340,2005
New Mexico,74,Violent Crime Index,242,2005
New York,51,Violent Crime Index,301,2005
North Carolina,86,Violent Crime Index,305,2005
North Dakota,86,Violent Crime Index,91,2005
Ohio,57,Violent Crime Index,163,2005
Oklahoma,94,Violent Crime Index,189,2005
Oregon,94,Violent Crime Index,196,2005
Pennsylvania,85,Violent Crime Index,442,2005
Rhode Island,81,Violent Crime Index,215,2005
South Carolina,91,Violent Crime Index,380,2005
South Dakota,36,Violent Crime Index,133,2005
Tennessee,78,Violent Crime Index,324,2005
Texas,96,Violent Crime Index,191,2005
Utah,85,Violent Crime Index,140,2005
Vermont,87,Violent Crime Index,65,2005
Virginia,77,Violent Crime Index,166,2005
Washington,86,Violent Crime Index,222,2005
West Virginia,85,Violent Crime Index,69,2005
Wisconsin,68,Violent Crime Index,210,2005
Wyoming,98,Violent Crime Index,131,2005
United States,79,Property Crime Index,1289,2005
Alabama,71,Property Crime Index,720,2005
Alaska,97,Property Crime Index,1574,2005
Arizona,90,Property Crime Index,1672,2005
Arkansas,78,Property Crime Index,1288,2005
California,99,Property Crime Index,1026,2005
Colorado,92,Property Crime Index,1848,2005
Connecticut,88,Property Crime Index,1107,2005
Delaware,100,Property Crime Index,1563,2005
District of Columbia,0,Property Crime Index,NA,2005
Florida,100,Property Crime Index,1792,2005
Georgia,37,Property Crime Index,1430,2005
Hawaii,82,Property Crime Index,1137,2005
Idaho,63,Property Crime Index,1876,2005
Illinois,23,Property Crime Index,1851,2005
Indiana,75,Property Crime Index,1280,2005
Iowa,89,Property Crime Index,1865,2005
Kansas,47,Property Crime Index,740,2005
Kentucky,64,Property Crime Index,1095,2005
Louisiana,54,Property Crime Index,1618,2005
Maine,99,Property Crime Index,1499,2005
Maryland,99,Property Crime Index,1804,2005
Massachusetts,77,Property Crime Index,489,2005
Michigan,97,Property Crime Index,985,2005
Minnesota,94,Property Crime Index,1605,2005
Mississippi,50,Property Crime Index,1306,2005
Missouri,63,Property Crime Index,1359,2005
Montana,83,Property Crime Index,2039,2005
Nebraska,90,Property Crime Index,1935,2005
Nevada,100,Property Crime Index,1315,2005
New Hampshire,83,Property Crime Index,956,2005
New Jersey,96,Property Crime Index,823,2005
New Mexico,74,Property Crime Index,1110,2005
New York,51,Property Crime Index,1070,2005
North Carolina,86,Property Crime Index,1319,2005
North Dakota,86,Property Crime Index,1695,2005
Ohio,57,Property Crime Index,1059,2005
Oklahoma,94,Property Crime Index,1310,2005
Oregon,94,Property Crime Index,1784,2005
Pennsylvania,85,Property Crime Index,1091,2005
Rhode Island,81,Property Crime Index,1057,2005
South Carolina,91,Property Crime Index,1366,2005
South Dakota,36,Property Crime Index,1700,2005
Tennessee,78,Property Crime Index,1288,2005
Texas,96,Property Crime Index,1159,2005
Utah,85,Property Crime Index,2193,2005
Vermont,87,Property Crime Index,622,2005
Virginia,77,Property Crime Index,870,2005
Washington,86,Property Crime Index,1766,2005
West Virginia,85,Property Crime Index,486,2005
Wisconsin,68,Property Crime Index,2614,2005
Wyoming,98,Property Crime Index,1837,2005
United States,79,Drug abuse,581,2005
Alabama,71,Drug abuse,291,2005
Alaska,97,Drug abuse,388,2005
Arizona,90,Drug abuse,852,2005
Arkansas,78,Drug abuse,413,2005
California,99,Drug abuse,493,2005
Colorado,92,Drug abuse,777,2005
Connecticut,88,Drug abuse,526,2005
Delaware,100,Drug abuse,840,2005
District of Columbia,0,Drug abuse,NA,2005
Florida,100,Drug abuse,752,2005
Georgia,37,Drug abuse,653,2005
Hawaii,82,Drug abuse,306,2005
Idaho,63,Drug abuse,532,2005
Illinois,23,Drug abuse,2567,2005
Indiana,75,Drug abuse,457,2005
Iowa,89,Drug abuse,412,2005
Kansas,47,Drug abuse,393,2005
Kentucky,64,Drug abuse,694,2005
Louisiana,54,Drug abuse,651,2005
Maine,99,Drug abuse,425,2005
Maryland,99,Drug abuse,1189,2005
Massachusetts,77,Drug abuse,343,2005
Michigan,97,Drug abuse,326,2005
Minnesota,94,Drug abuse,569,2005
Mississippi,50,Drug abuse,538,2005
Missouri,63,Drug abuse,627,2005
Montana,83,Drug abuse,431,2005
Nebraska,90,Drug abuse,656,2005
Nevada,100,Drug abuse,271,2005
New Hampshire,83,Drug abuse,576,2005
New Jersey,96,Drug abuse,660,2005
New Mexico,74,Drug abuse,696,2005
New York,51,Drug abuse,543,2005
North Carolina,86,Drug abuse,412,2005
North Dakota,86,Drug abuse,415,2005
Ohio,57,Drug abuse,413,2005
Oklahoma,94,Drug abuse,442,2005
Oregon,94,Drug abuse,612,2005
Pennsylvania,85,Drug abuse,546,2005
Rhode Island,81,Drug abuse,532,2005
South Carolina,91,Drug abuse,707,2005
South Dakota,36,Drug abuse,291,2005
Tennessee,78,Drug abuse,636,2005
Texas,96,Drug abuse,546,2005
Utah,85,Drug abuse,518,2005
Vermont,87,Drug abuse,272,2005
Virginia,77,Drug abuse,353,2005
Washington,86,Drug abuse,456,2005
West Virginia,85,Drug abuse,227,2005
Wisconsin,68,Drug abuse,769,2005
Wyoming,98,Drug abuse,901,2005
United States,79,Weapons,134,2005
Alabama,71,Weapons,28,2005
Alaska,97,Weapons,79,2005
Arizona,90,Weapons,81,2005
Arkansas,78,Weapons,67,2005
California,99,Weapons,207,2005
Colorado,92,Weapons,153,2005
Connecticut,88,Weapons,127,2005
Delaware,100,Weapons,153,2005
District of Columbia,0,Weapons,NA,2005
Florida,100,Weapons,148,2005
Georgia,37,Weapons,203,2005
Hawaii,82,Weapons,30,2005
Idaho,63,Weapons,112,2005
Illinois,23,Weapons,356,2005
Indiana,75,Weapons,36,2005
Iowa,89,Weapons,38,2005
Kansas,47,Weapons,38,2005
Kentucky,64,Weapons,54,2005
Louisiana,54,Weapons,104,2005
Maine,99,Weapons,32,2005
Maryland,99,Weapons,255,2005
Massachusetts,77,Weapons,36,2005
Michigan,97,Weapons,82,2005
Minnesota,94,Weapons,145,2005
Mississippi,50,Weapons,108,2005
Missouri,63,Weapons,118,2005
Montana,83,Weapons,50,2005
Nebraska,90,Weapons,95,2005
Nevada,100,Weapons,70,2005
New Hampshire,83,Weapons,26,2005
New Jersey,96,Weapons,205,2005
New Mexico,74,Weapons,170,2005
New York,51,Weapons,92,2005
North Carolina,86,Weapons,188,2005
North Dakota,86,Weapons,72,2005
Ohio,57,Weapons,72,2005
Oklahoma,94,Weapons,89,2005
Oregon,94,Weapons,89,2005
Pennsylvania,85,Weapons,146,2005
Rhode Island,81,Weapons,147,2005
South Carolina,91,Weapons,209,2005
South Dakota,36,Weapons,161,2005
Tennessee,78,Weapons,147,2005
Texas,96,Weapons,71,2005
Utah,85,Weapons,154,2005
Vermont,87,Weapons,19,2005
Virginia,77,Weapons,102,2005
Washington,86,Weapons,115,2005
West Virginia,85,Weapons,27,2005
Wisconsin,68,Weapons,207,2005
Wyoming,98,Weapons,127,2005
United States,78,Violent Crime Index,315,2006
Alabama,80,Violent Crime Index,141,2006
Alaska,96,Violent Crime Index,218,2006
Arizona,96,Violent Crime Index,240,2006
Arkansas,69,Violent Crime Index,239,2006
California,100,Violent Crime Index,389,2006
Colorado,95,Violent Crime Index,220,2006
Connecticut,61,Violent Crime Index,403,2006
Delaware,100,Violent Crime Index,607,2006
District of Columbia,0,Violent Crime Index,NA,2006
Florida,100,Violent Crime Index,485,2006
Georgia,34,Violent Crime Index,377,2006
Hawaii,84,Violent Crime Index,218,2006
Idaho,84,Violent Crime Index,145,2006
Illinois,23,Violent Crime Index,1029,2006
Indiana,59,Violent Crime Index,147,2006
Iowa,83,Violent Crime Index,263,2006
Kansas,65,Violent Crime Index,164,2006
Kentucky,23,Violent Crime Index,371,2006
Louisiana,48,Violent Crime Index,436,2006
Maine,100,Violent Crime Index,92,2006
Maryland,99,Violent Crime Index,583,2006
Massachusetts,85,Violent Crime Index,362,2006
Michigan,93,Violent Crime Index,223,2006
Minnesota,89,Violent Crime Index,234,2006
Mississippi,56,Violent Crime Index,135,2006
Missouri,98,Violent Crime Index,341,2006
Montana,0,Violent Crime Index,NA,2006
Nebraska,87,Violent Crime Index,106,2006
Nevada,99,Violent Crime Index,213,2006
New Hampshire,79,Violent Crime Index,90,2006
New Jersey,97,Violent Crime Index,362,2006
New Mexico,65,Violent Crime Index,266,2006
New York,49,Violent Crime Index,314,2006
North Carolina,76,Violent Crime Index,287,2006
North Dakota,90,Violent Crime Index,69,2006
Ohio,50,Violent Crime Index,194,2006
Oklahoma,91,Violent Crime Index,201,2006
Oregon,84,Violent Crime Index,209,2006
Pennsylvania,88,Violent Crime Index,468,2006
Rhode Island,89,Violent Crime Index,143,2006
South Carolina,90,Violent Crime Index,342,2006
South Dakota,47,Violent Crime Index,27,2006
Tennessee,81,Violent Crime Index,321,2006
Texas,96,Violent Crime Index,185,2006
Utah,79,Violent Crime Index,117,2006
Vermont,83,Violent Crime Index,103,2006
Virginia,77,Violent Crime Index,171,2006
Washington,82,Violent Crime Index,237,2006
West Virginia,49,Violent Crime Index,45,2006
Wisconsin,95,Violent Crime Index,297,2006
Wyoming,98,Violent Crime Index,138,2006
United States,78,Property Crime Index,1256,2006
Alabama,80,Property Crime Index,592,2006
Alaska,96,Property Crime Index,1622,2006
Arizona,96,Property Crime Index,1394,2006
Arkansas,69,Property Crime Index,1217,2006
California,100,Property Crime Index,1034,2006
Colorado,95,Property Crime Index,1573,2006
Connecticut,61,Property Crime Index,1128,2006
Delaware,100,Property Crime Index,1491,2006
District of Columbia,0,Property Crime Index,NA,2006
Florida,100,Property Crime Index,1772,2006
Georgia,34,Property Crime Index,1243,2006
Hawaii,84,Property Crime Index,1092,2006
Idaho,84,Property Crime Index,1829,2006
Illinois,23,Property Crime Index,1679,2006
Indiana,59,Property Crime Index,1408,2006
Iowa,83,Property Crime Index,1676,2006
Kansas,65,Property Crime Index,895,2006
Kentucky,23,Property Crime Index,2092,2006
Louisiana,48,Property Crime Index,1585,2006
Maine,100,Property Crime Index,1435,2006
Maryland,99,Property Crime Index,1890,2006
Massachusetts,85,Property Crime Index,502,2006
Michigan,93,Property Crime Index,1066,2006
Minnesota,89,Property Crime Index,1735,2006
Mississippi,56,Property Crime Index,1006,2006
Missouri,98,Property Crime Index,1650,2006
Montana,0,Property Crime Index,NA,2006
Nebraska,87,Property Crime Index,1892,2006
Nevada,99,Property Crime Index,1211,2006
New Hampshire,79,Property Crime Index,886,2006
New Jersey,97,Property Crime Index,881,2006
New Mexico,65,Property Crime Index,1002,2006
New York,49,Property Crime Index,1104,2006
North Carolina,76,Property Crime Index,1331,2006
North Dakota,90,Property Crime Index,1595,2006
Ohio,50,Property Crime Index,1064,2006
Oklahoma,91,Property Crime Index,1179,2006
Oregon,84,Property Crime Index,1798,2006
Pennsylvania,88,Property Crime Index,1046,2006
Rhode Island,89,Property Crime Index,893,2006
South Carolina,90,Property Crime Index,1043,2006
South Dakota,47,Property Crime Index,417,2006
Tennessee,81,Property Crime Index,1087,2006
Texas,96,Property Crime Index,1002,2006
Utah,79,Property Crime Index,1793,2006
Vermont,83,Property Crime Index,585,2006
Virginia,77,Property Crime Index,905,2006
Washington,82,Property Crime Index,1695,2006
West Virginia,49,Property Crime Index,275,2006
Wisconsin,95,Property Crime Index,2583,2006
Wyoming,98,Property Crime Index,1521,2006
United States,78,Drug abuse,600,2006
Alabama,80,Drug abuse,263,2006
Alaska,96,Drug abuse,314,2006
Arizona,96,Drug abuse,767,2006
Arkansas,69,Drug abuse,445,2006
California,100,Drug abuse,496,2006
Colorado,95,Drug abuse,738,2006
Connecticut,61,Drug abuse,543,2006
Delaware,100,Drug abuse,862,2006
District of Columbia,0,Drug abuse,NA,2006
Florida,100,Drug abuse,789,2006
Georgia,34,Drug abuse,682,2006
Hawaii,84,Drug abuse,360,2006
Idaho,84,Drug abuse,509,2006
Illinois,23,Drug abuse,2415,2006
Indiana,59,Drug abuse,477,2006
Iowa,83,Drug abuse,396,2006
Kansas,65,Drug abuse,425,2006
Kentucky,23,Drug abuse,1387,2006
Louisiana,48,Drug abuse,772,2006
Maine,100,Drug abuse,456,2006
Maryland,99,Drug abuse,1173,2006
Massachusetts,85,Drug abuse,387,2006
Michigan,93,Drug abuse,360,2006
Minnesota,89,Drug abuse,567,2006
Mississippi,56,Drug abuse,518,2006
Missouri,98,Drug abuse,703,2006
Montana,0,Drug abuse,NA,2006
Nebraska,87,Drug abuse,638,2006
Nevada,99,Drug abuse,504,2006
New Hampshire,79,Drug abuse,618,2006
New Jersey,97,Drug abuse,695,2006
New Mexico,65,Drug abuse,618,2006
New York,49,Drug abuse,608,2006
North Carolina,76,Drug abuse,454,2006
North Dakota,90,Drug abuse,399,2006
Ohio,50,Drug abuse,432,2006
